iter	Logloss
0	0.6845520105
1	0.6753825826
2	0.6682292565
3	0.6616531139
4	0.6552686584
5	0.6470980564
6	0.6399210627
7	0.6326288039
8	0.6262254215
9	0.6208309429
10	0.6154109337
11	0.6076166787
12	0.6010702538
13	0.5963325891
14	0.5910156758
15	0.5856452831
16	0.5820595569
17	0.5749562834
18	0.5700153741
19	0.5656915856
20	0.5611398062
21	0.5566769936
22	0.5525811773
23	0.5483157275
24	0.5439243682
25	0.5407608837
26	0.5362054132
27	0.5330691787
28	0.5299304614
29	0.5273123861
30	0.5230824612
31	0.5193758067
32	0.5161507483
33	0.5140240272
34	0.5101219367
35	0.5068599904
36	0.5028730313
37	0.5001738753
38	0.4970299416
39	0.4945124798
40	0.4918266929
41	0.4889934532
42	0.4857367486
43	0.4837344948
44	0.4817921894
45	0.4801366943
46	0.4777453873
47	0.4746858256
48	0.4726641446
49	0.4699935744
50	0.467550447
51	0.4657101261
52	0.4633708044
53	0.4607962586
54	0.4595029026
55	0.4574163191
56	0.4555498472
57	0.4535080892
58	0.4515953622
59	0.4499501017
60	0.4482748613
61	0.4467763999
62	0.4452955173
63	0.4435869244
64	0.4414997216
65	0.4400251395
66	0.4384649332
67	0.4368798589
68	0.4356216507
69	0.4339089634
70	0.4320963091
71	0.4308907467
72	0.429357214
73	0.4276537924
74	0.4258525348
75	0.4241941507
76	0.4232178784
77	0.4211617629
78	0.4196734424
79	0.4185570147
80	0.417018758
81	0.4155437264
82	0.4144980742
83	0.4133739801
84	0.4123756243
85	0.4112969859
86	0.4099549546
87	0.4088257355
88	0.4071982936
89	0.4057157144
90	0.4046383811
91	0.4034569988
92	0.4016074751
93	0.4004229908
94	0.3994544541
95	0.3986389613
96	0.398056809
97	0.3966908903
98	0.3958925529
99	0.3950164854
100	0.3942159394
101	0.3923462965
102	0.39155548
103	0.3905783867
104	0.3894519916
105	0.3885778679
106	0.387563441
107	0.3863473889
108	0.3851296732
109	0.3843090949
110	0.383358197
111	0.3826191318
112	0.3818338503
113	0.381443655
114	0.3802415825
115	0.3794399231
116	0.378729012
117	0.378089311
118	0.3773535261
119	0.3766218857
120	0.3760932263
121	0.3749042981
122	0.3743153565
123	0.3736738176
124	0.3729009179
125	0.3720414829
126	0.3710770277
127	0.3705849054
128	0.3698730011
129	0.3689726257
130	0.3681513248
131	0.3672528976
132	0.3661268833
133	0.3657111666
134	0.3650401753
135	0.3642756939
136	0.3632218093
137	0.362392726
138	0.3617011497
139	0.3606622413
140	0.3596936689
141	0.3588320244
142	0.3579591219
143	0.3576282608
144	0.3568608979
145	0.3561754319
146	0.3554991118
147	0.3547359869
148	0.3542285398
149	0.3537471478
