iter	Passed	Remaining
0	2	1089
1	4	1000
2	5	965
3	7	967
4	9	941
5	11	913
6	12	892
7	14	876
8	15	866
9	17	861
10	19	861
11	21	856
12	22	851
13	24	849
14	26	842
15	27	838
16	29	835
17	31	832
18	32	828
19	34	826
20	36	825
21	37	821
22	39	825
23	41	823
24	43	820
25	44	817
26	46	812
27	48	809
28	49	806
29	51	803
30	52	801
31	54	800
32	56	797
33	57	794
34	59	791
35	61	789
36	62	786
37	64	784
38	66	782
39	67	780
40	69	780
41	71	779
42	73	777
43	74	775
44	76	772
45	78	770
46	79	768
47	81	766
48	83	765
49	84	763
50	86	762
51	88	760
52	89	758
53	91	757
54	93	753
55	94	751
56	96	750
57	98	749
58	100	748
59	101	746
60	103	745
61	105	743
62	106	741
63	108	740
64	110	738
65	112	736
66	113	735
67	115	734
68	117	732
69	119	731
70	120	730
71	122	729
72	124	728
73	126	726
74	128	725
75	129	724
76	131	724
77	168	910
78	171	911
79	173	912
80	176	912
81	184	941
82	186	938
83	188	935
84	190	932
85	192	928
86	194	925
87	197	922
88	200	927
89	204	932
90	206	930
91	209	927
92	211	924
93	213	920
94	214	916
95	216	912
96	218	908
97	220	905
98	222	902
99	224	898
100	226	895
101	228	892
102	230	888
103	232	885
104	234	882
105	236	879
106	238	876
107	240	872
108	242	869
109	244	866
110	246	862
111	248	859
112	250	856
113	252	853
114	254	850
115	255	847
116	257	844
117	259	841
118	261	838
119	263	835
120	265	832
121	267	829
122	269	827
123	271	824
124	273	821
125	275	818
126	277	816
127	279	813
128	281	810
129	283	807
130	285	805
131	288	803
132	290	801
133	292	798
134	294	796
135	296	793
136	298	790
137	300	788
138	302	785
139	304	783
140	306	780
141	308	778
142	310	775
143	312	772
144	314	770
145	316	767
146	318	765
147	320	762
148	322	760
149	324	758
150	326	755
151	328	753
152	331	750
153	333	748
154	335	746
155	337	743
156	339	741
157	341	738
158	343	736
159	345	734
160	347	731
161	349	729
162	351	726
163	353	724
164	355	721
165	357	719
166	359	717
167	361	714
168	363	712
169	365	710
170	368	708
171	370	705
172	372	703
173	374	701
174	378	702
175	380	700
176	383	699
177	385	696
178	387	694
179	389	692
180	391	690
181	394	688
182	396	686
183	398	684
184	400	681
185	402	679
186	404	677
187	406	675
188	409	673
189	411	670
190	413	668
191	415	666
192	417	663
193	419	661
194	421	659
195	423	657
196	426	655
197	428	653
198	430	651
199	432	648
200	434	646
201	436	644
202	438	642
203	441	639
204	443	637
205	445	635
206	447	633
207	449	630
208	451	628
209	453	626
210	455	624
211	458	622
212	460	620
213	462	617
214	464	615
215	466	613
216	468	611
217	470	609
218	472	606
219	475	604
220	477	602
221	479	600
222	481	597
223	483	595
224	485	593
225	487	591
226	489	589
227	492	587
228	494	584
229	496	582
230	498	580
231	500	578
232	502	576
233	504	573
234	507	571
235	509	569
236	511	567
237	513	565
238	515	563
239	517	561
240	520	558
241	522	556
242	524	554
243	526	552
244	528	550
245	531	548
246	533	546
247	536	544
248	538	542
249	540	540
250	542	538
251	544	536
252	547	534
253	549	532
254	551	530
255	553	527
256	555	525
257	558	523
258	560	521
259	563	520
260	565	517
261	567	515
262	570	513
263	572	511
264	574	509
265	576	507
266	578	505
267	580	502
268	583	500
269	585	498
270	587	496
271	589	494
272	592	492
273	594	490
274	597	488
275	599	486
276	601	484
277	603	482
278	605	479
279	608	478
280	610	475
281	612	473
282	615	471
283	617	469
284	619	467
285	622	465
286	624	463
287	626	461
288	629	459
289	631	457
290	633	454
291	635	452
292	637	450
293	640	448
294	642	446
295	644	444
296	646	442
297	648	439
298	651	437
299	653	435
300	655	433
301	657	431
302	660	429
303	662	427
304	664	424
305	666	422
306	669	420
307	670	418
308	673	416
309	675	414
310	677	411
311	679	409
312	682	407
313	684	405
314	687	403
315	689	401
316	691	399
317	693	396
318	695	394
319	698	392
320	701	390
321	703	388
322	705	386
323	707	384
324	710	382
325	712	380
326	714	378
327	716	375
328	718	373
329	721	371
330	723	369
331	725	367
332	728	365
333	730	363
334	732	360
335	734	358
336	737	356
337	739	354
338	741	352
339	744	350
340	746	348
341	748	345
342	751	343
343	753	341
344	755	339
345	757	337
346	759	334
347	761	332
348	763	330
349	766	328
350	768	326
351	770	323
352	772	321
353	775	319
354	777	317
355	779	315
356	781	313
357	783	310
358	785	308
359	788	306
360	790	304
361	792	302
362	794	299
363	796	297
364	798	295
365	800	293
366	803	291
367	804	288
368	807	286
369	809	284
370	811	282
371	813	280
372	816	277
373	818	275
374	820	273
375	822	271
376	825	269
377	827	267
378	829	264
379	832	262
380	834	260
381	836	258
382	839	256
383	842	254
384	844	252
385	846	250
386	849	247
387	851	245
388	853	243
389	856	241
390	858	239
391	860	237
392	862	234
393	865	232
394	867	230
395	869	228
396	872	226
397	874	224
398	876	221
399	878	219
400	881	217
401	883	215
402	886	213
403	888	211
404	890	208
405	892	206
406	895	204
407	897	202
408	899	200
409	902	198
410	904	195
411	906	193
412	909	191
413	911	189
414	913	187
415	916	185
416	918	182
417	921	180
418	923	178
419	925	176
420	928	174
421	930	172
422	933	169
423	935	167
424	938	165
425	940	163
426	942	161
427	944	158
428	947	156
429	949	154
430	951	152
431	954	150
432	956	147
433	958	145
434	961	143
435	963	141
436	965	139
437	967	136
438	970	134
439	972	132
440	974	130
441	977	128
442	979	126
443	981	123
444	984	121
445	986	119
446	988	117
447	990	114
448	992	112
449	995	110
450	997	108
451	999	106
452	1002	103
453	1004	101
454	1006	99
455	1008	97
456	1011	95
457	1013	92
458	1016	90
459	1018	88
460	1021	86
461	1023	84
462	1026	82
463	1028	79
464	1030	77
465	1032	75
466	1035	73
467	1037	70
468	1039	68
469	1041	66
470	1044	64
471	1046	62
472	1048	59
473	1051	57
474	1053	55
475	1055	53
476	1058	51
477	1060	48
478	1062	46
479	1064	44
480	1067	42
481	1069	39
482	1071	37
483	1074	35
484	1076	33
485	1078	31
486	1081	28
487	1083	26
488	1085	24
489	1088	22
490	1090	19
491	1092	17
492	1094	15
493	1097	13
494	1099	11
495	1101	8
496	1104	6
497	1106	4
498	1108	2
499	1110	0
