iter	Logloss
0	0.6620165558
1	0.6400929315
2	0.6186573211
3	0.5979675275
4	0.5818911934
5	0.5660050786
6	0.5496522129
7	0.5336715087
8	0.5177876871
9	0.5072218155
10	0.4933891895
11	0.4813853919
12	0.4742097902
13	0.465610805
14	0.4562997875
15	0.4484767898
16	0.4420260898
17	0.4341705211
18	0.4278526923
19	0.4220730164
20	0.4184080024
21	0.4135551077
22	0.406992483
23	0.402513174
24	0.3957762291
25	0.3913657894
26	0.3854710746
27	0.3792837054
28	0.3746695876
29	0.3716286837
30	0.3670193849
31	0.3629986381
32	0.3597224251
33	0.3547514678
34	0.3509364186
35	0.3479028238
36	0.344845543
37	0.3409238076
38	0.3362063252
39	0.3338667781
40	0.3312039083
41	0.3276212617
42	0.3244810212
43	0.3208437308
44	0.3193137253
45	0.3175710417
46	0.3138422961
47	0.3100136427
48	0.3070658468
49	0.3033044975
50	0.3010721474
51	0.2982858089
52	0.2961852936
53	0.2946479449
54	0.292926615
55	0.2899135053
56	0.2882942766
57	0.2858795196
58	0.2824085878
59	0.2812819977
60	0.2789417326
61	0.2763301682
62	0.2734729393
63	0.2713189133
64	0.2681245122
65	0.2657830478
66	0.2640821999
67	0.2615163015
68	0.259870596
69	0.2577945823
70	0.2556418402
71	0.2526092233
72	0.2503116761
73	0.2483308894
74	0.246856809
75	0.2456446381
76	0.2439446843
77	0.2421528861
78	0.2405745114
79	0.2396050444
80	0.2375731537
81	0.235386531
82	0.2339108968
83	0.2322162884
84	0.2302390131
85	0.2287074887
86	0.2264405363
87	0.2252371719
88	0.2236114614
89	0.2221488572
90	0.2195141877
91	0.2179807449
92	0.2174163887
93	0.2164349211
94	0.2151599111
95	0.214635105
96	0.2124864634
97	0.2099614218
98	0.2082498906
99	0.2059559627
100	0.2048900143
101	0.202692382
102	0.2016357437
103	0.1996388099
104	0.1988347329
105	0.1980879549
106	0.196784602
107	0.1956442714
108	0.1944975314
109	0.1930987909
110	0.1912229434
111	0.1894853926
112	0.1871572954
113	0.1862545583
114	0.1843836302
115	0.1832204561
116	0.1816938495
117	0.1807463214
118	0.1803146834
119	0.1800389396
120	0.1787762125
121	0.1775525261
122	0.1766121685
123	0.17564534
124	0.1748359376
125	0.1739680592
126	0.1729215047
127	0.171205942
128	0.1704112384
129	0.16888515
130	0.1677841274
131	0.1662285478
132	0.1649159195
133	0.1641562712
134	0.1626204649
135	0.161625796
136	0.1606232937
137	0.1598433578
138	0.1585280141
139	0.1575478542
140	0.1563877538
141	0.155247058
142	0.1542093236
143	0.153337501
144	0.1524412606
145	0.1518555573
146	0.1507156519
147	0.1498941648
148	0.1491267539
149	0.1482277887
150	0.1468548892
151	0.1460564157
152	0.1443824773
153	0.1434834065
154	0.14264195
155	0.1418678033
156	0.1409762554
157	0.1403721038
158	0.1387152502
159	0.1376534977
160	0.1363407183
161	0.1354803784
162	0.1343313938
163	0.1336702112
164	0.1325990434
165	0.1319311332
166	0.1307917994
167	0.1302607258
168	0.1295001972
169	0.1285859788
170	0.1275511229
171	0.1266374175
172	0.1257174098
173	0.125324141
174	0.124428263
175	0.1240010239
176	0.1226342204
177	0.1215991581
178	0.1207058216
179	0.1198516716
180	0.1185440625
181	0.1176112192
182	0.1172089108
183	0.1165288722
184	0.1158527081
185	0.1153306673
186	0.1148197055
187	0.1141414988
188	0.1134643328
189	0.1129155376
190	0.1122359714
191	0.1114625773
192	0.1103203041
193	0.1097208632
194	0.1086083338
195	0.1074673391
196	0.1070619401
197	0.1064004638
198	0.1058569286
199	0.1053240634
