iter	Passed	Remaining
0	4	979
1	10	1015
2	15	988
3	19	962
4	24	955
5	28	935
6	33	921
7	37	909
8	42	896
9	46	883
10	50	873
11	55	870
12	59	860
13	63	849
14	68	847
15	73	843
16	77	833
17	81	823
18	85	815
19	89	805
20	93	796
21	97	789
22	101	784
23	107	787
24	111	781
25	115	775
26	120	769
27	124	762
28	128	755
29	132	750
30	136	743
31	140	737
32	144	731
33	148	726
34	153	722
35	157	717
36	161	712
37	165	707
38	170	702
39	174	696
40	178	691
41	182	686
42	186	680
43	190	676
44	194	671
45	199	667
46	203	661
47	207	658
48	212	653
49	216	648
50	220	643
51	225	640
52	229	636
53	233	632
54	238	628
55	243	624
56	247	620
57	251	616
58	255	611
59	259	606
60	264	601
61	268	597
62	272	592
63	276	588
64	281	584
65	285	579
66	289	574
67	293	569
68	297	565
69	301	560
70	305	555
71	310	551
72	314	547
73	318	542
74	323	538
75	327	534
76	331	530
77	336	525
78	340	521
79	344	517
80	349	512
81	353	508
82	357	503
83	361	499
84	365	494
85	369	490
86	374	485
87	378	481
88	382	477
89	386	472
90	391	468
91	395	463
92	399	459
93	403	455
94	407	450
95	412	446
96	416	442
97	421	438
98	426	434
99	430	430
100	436	427
101	440	423
102	445	419
103	449	415
104	454	411
105	458	406
106	463	402
107	467	398
108	472	394
109	476	389
110	481	385
111	486	381
112	490	377
113	494	373
114	498	368
115	503	364
116	507	360
117	512	355
118	516	351
119	518	345
120	522	341
121	527	337
122	531	332
123	535	328
124	540	324
125	544	319
126	548	315
127	553	311
128	558	307
129	562	303
130	568	299
131	573	295
132	578	291
133	584	287
134	589	283
135	594	279
136	599	275
137	604	271
138	609	267
139	614	263
140	619	259
141	623	254
142	628	250
143	634	246
144	639	242
145	644	238
146	649	234
147	653	229
148	658	225
149	663	221
150	668	216
151	673	212
152	677	208
153	682	203
154	687	199
155	691	195
156	696	190
157	701	186
158	705	182
159	710	177
160	715	173
161	720	168
162	725	164
163	729	160
164	734	155
165	739	151
166	744	147
167	749	142
168	753	138
169	758	133
170	763	129
171	767	124
172	772	120
173	777	116
174	781	111
175	786	107
176	791	102
177	795	98
178	800	93
179	805	89
180	810	85
181	814	80
182	819	76
183	823	71
184	828	67
185	833	62
186	838	58
187	843	53
188	847	49
189	852	44
190	856	40
191	861	35
192	865	31
193	870	26
194	875	22
195	879	17
196	884	13
197	888	8
198	893	4
199	897	0
